Company Name,Year_Funded,Founded_in,Industry,Round/Series,Amount,Location,About Company,Investors,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022,Revenue 2023
Carmel Organics,2018,2019.0,Agriculture,Series A,1842594.17,"Indore, Madhya Pradesh, India","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Unknown,2554783.407635700,2566539.922438900,2854189.6198327200,3690155.7091340500,3907871.1337100400,4335673.678649950
Roadcast,2018,2006.0,—,Angel,981341.32,"New New Delhi, New Delhi, India",Transforming the way businesses deliver. Work-force & fleet mobility tools.,Unknown,1203714.475445080,1809229.2671590500,1422501.527600520,1594049.7747440600,1634109.9903743000,1955297.5517064600
Printline Media(ThePrint),2018,2013.0,Digital Media,Seed,635059.96,"New New Delhi, New Delhi, India",A digital news platform.,Unknown,814774.4340503830,1091340.6870327300,889366.4255561900,1295289.9601174900,1049332.4443411400,1289832.1901169100
Creditas Solutions,2018,2014.0,Financial Services,Seed,1056045.39,"Gurugram, Haryana, India",Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,Unknown,1366262.1751072000,1665006.2085671600,1507735.5308463800,1934536.7334911900,2276232.526746710,2601652.3100288800
UrbanPiper,2018,2016.0,Software,Seed,906188.91,"Bengaluru, Karnataka, India",UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Unknown,1262135.389133500,1482584.1511920700,1460091.5666027500,1877126.4520578900,1564890.4812440600,1772490.9884351600
Doxper,2018,2011.0,Health Care,Seed,975531.2,"Mumbai, Maharashtra, India",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Unknown,1477922.595695250,1426447.1867495300,1594009.7801136500,1784847.391147550,1907829.0986986600,2368903.4719505700
i2ifunding,2018,2015.0,Crowdfunding,Angel,1522520.81,"Noida, Uttar Pradesh, India",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Unknown,2295082.0842283600,2561431.3709441400,2839358.512606420,3090504.3054438800,3202869.572486950,3105697.677612730
ShakeDeal,2018,2016.0,B2B,Seed,715827.37,"Bengaluru, Karnataka, India",Home of B2B Commerce,Unknown,765083.230840738,1231445.2384089300,1081490.149263610,1375654.1397188600,1415463.2763433800,1334022.8488105500
HelloVerify,2018,2017.0,Fraud Detection,Seed,1239613.9,"Noida, Uttar Pradesh, India",HelloVerify is an online background check platform.,Unknown,1285733.6565668100,2145315.49591198,2321688.5978232000,2567248.336298160,2646184.82099341,2565082.9133136300
Fasal,2018,2017.0,Agriculture,Seed,1716369.0,"Bengaluru, Karnataka, India",Climate Smart Precision Agriculture Platform,Unknown,1945608.5618462400,3158146.9126222500,2713589.073190830,3099400.5657391000,3032623.2105385700,3921507.12508674
CoinGeto,2018,2016.0,Cryptocurrency,Seed,1514465.62,"New Delhi, New Delhi, India",CoinGeto is one of India’s most advanced digital assets exchange.,Unknown,2240707.2476422200,2680973.943837110,2766042.9400021900,3132921.193244860,2837319.4336297000,3199616.8675016300
Avail Finance,2018,2019.0,Finance,Series A,944611.98,"Bengaluru, Karnataka, India",Avail is a mobile-first platform aiming to financially include the urban mass of India.,Unknown,998763.060550978,1440861.9613837800,1703232.4785206500,1445798.869513650,2030613.9853775400,1746275.0354304300
Tripeur,2018,2016.0,Information Technology,Seed,553583.57,"Bengaluru, Karnataka, India",Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,Unknown,791065.1925441490,926729.0119032680,785042.966815617,896555.657589501,931665.6068994020,1324810.976770410
Wedeterna,2018,1978.0,Wedding,Angel,1037903.19,"Bengaluru, Karnataka, India","Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",Unknown,1427651.2898096000,1813465.9673908200,2054903.0581821500,1878850.8506227100,1708809.8296945800,2255412.763563410
Stumagz,2018,2013.0,Digital Media,Seed,1553467.53,"Hyderabad, Andhra Pradesh, India",Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,Unknown,1922769.6959606500,2062626.9892476400,2660949.270672910,2333499.1061478200,3119604.093462820,3166427.544001380
Doubtnut,2018,2015.0,E-Learning,Seed,1171186.26,"Gurugram, Haryana, India",Gurgaon based E-learning platform.,Unknown,1344239.1929764800,1719381.6195987100,1807665.8963485200,1952303.1769146800,1908107.447764230,2286441.733695340
MCaffeine,2018,2017.0,Consumer Goods,Seed,1828548.66,"Mumbai, Maharashtra, India",MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,Unknown,2704091.9027364300,2530503.8574967300,2854078.597568790,3693372.257079340,3570464.309975520,3308297.929610220
TrustCheckr,2018,2008.0,Information Technology,Angel,890341.39,"Bengaluru, Karnataka, India",A Bengaluru-based fraud analytics solution provider .,Unknown,1382419.5528083400,1672701.0101241800,1389301.8699704400,1430506.5349090500,1806985.0030513600,1961513.1774165300
HealthAssure,2018,2019.0,Fitness,Seed,1895417.2,"Mumbai, Maharashtra, India",HealthAssure provides access to Discounted & High Quality primary care medical network.,Unknown,2889595.87980524,2611456.155068410,3456420.435079030,3403796.0164975900,3540848.09741324,3884816.138131010
1Crowd,2018,2020.0,Crowdsourcing,Angel,1426575.65,"Mumbai, Maharashtra, India",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,Unknown,1616718.2068347700,2151779.322328250,2615554.9645588600,2808107.527976550,2800514.299889550,3200884.526312700
Aarav Unmanned Systems,2018,2013.0,Delivery,Seed,866045.9,"Bengaluru, Karnataka, India",Professional Drones for Enterprise Applications,Unknown,1424359.5843987700,1432449.988789900,1611477.5851045700,1580129.165358450,1651524.0077206300,1633290.3251540100
Wellthy Therapeutics Pvt Ltd,2018,2014.0,Health Care,Seed,953817.25,"Mumbai, Maharashtra, India","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Unknown,1079212.2148358300,1387394.8510149400,1556017.2277143300,1917671.6213807200,1855676.6513799900,1995295.5929496400
Nua,2018,2017.0,Consumer Goods,Seed,1292810.13,"Mumbai, Maharashtra, India",Nua is an e-commerce and feminine care brand platform focused on creating women care products.,Unknown,1616371.144562410,1930643.5665183300,2434228.8145558900,2156484.1517640000,2579544.187593310,2866968.47344335
Kuvera.in,2018,2010.0,Financial Services,Angel,1759559.15,"Bengaluru, Karnataka, India",An online platform for mutual fund investments.,Unknown,1766954.0684576400,2542280.915624050,3047421.8290405800,3206619.625738600,3778905.618518790,4264332.763365100
Livehealth,2018,2017.0,Health Care,Seed,1715595.98,"Pune, Maharashtra, India",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,Unknown,2320027.6253948100,3027881.0479429400,2678316.3460511500,3525224.0375536400,3624196.9416709200,3848332.4603948600
Gramophone,2018,2006.0,Farming,Seed,928151.96,"Indore, Madhya Pradesh, India",An agricultural inputs startup Company.,Unknown,1061402.2666550100,1377622.71218356,1624315.4754422300,1692097.1652045800,1990077.2540937600,2110667.6329842900
Ora,2018,2019.0,Business Travel,Seed,770329.23,"Kolkata, West Bengal, India",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,Unknown,1284318.8499077600,1317474.0573887300,1474382.931388990,1430663.6952498000,1679859.0733650700,1866171.5373794800
Buddy4Study.com,2018,2013.0,Career Planning,Series A,1654969.52,"Noida, Uttar Pradesh, India",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,Unknown,1995296.5321608900,3143029.032073830,3177032.6925432900,2691125.534713990,3461402.835870380,4014158.1532865100
Predible Health,2018,2007.0,Medical Device,Seed,1376901.44,"Bengaluru, Karnataka, India",Healthcare devices for cancer detection,Unknown,1752152.0795583900,2266430.8161397300,2690447.6286377200,2431582.7230438400,2724545.479052870,2976081.452049570
Syncremedies Healthcare Pvt Ltd,2018,2017.0,Alternative Medicine,Seed,551526.8,"Bengaluru, Karnataka, India","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",Unknown,874067.5914950090,784673.7550919100,959109.664359112,829682.0887676930,1072513.9023292000,1105646.1932254700
Blueleaf Cyberspace Systems,2018,2012.0,Internet,Seed,843581.17,"Bengaluru, Karnataka, India",Bluleaf Cyberspace is Cloud Based Software Company.,Unknown,853060.0993964340,1536813.5722929400,1646846.4665244400,1505912.402294140,1818178.015465250,1596456.6138221500
Toffee,2018,2017.0,—,Seed,1283001.63,"Gurugram, Haryana, India","Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Unknown,1872872.9643214100,1868957.8162935700,2284367.2799949700,2667433.3190689400,2444796.3737155400,3171549.881278130
ORO Wealth,2018,2016.0,—,Series A,512449.53,"Mumbai, Maharashtra, India",Online wealth management platform,Unknown,720021.3240342120,959497.4544384100,1001270.8062199100,823503.9998745840,857363.8175915860,1046461.8631013800
HealWell24,2018,2016.0,Dental,Seed,1873459.38,"Mumbai, Maharashtra, India","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Unknown,2863274.7190601300,3148690.5358773000,2927353.5768386200,3258324.293680230,3076455.61199353,3439476.8766604000
Acko General Insurance,2018,2018.0,Financial Services,Series A,706317.6,"Mumbai, Maharashtra, India",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,Unknown,1166672.0883615900,972769.5430204900,1083045.9335653700,1278104.7320721700,1292196.2997933000,1615037.5972466500
arzooo.com,2018,2008.0,Consumer Electronics,Seed,1891036.4,"Bengaluru, Karnataka, India",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,Unknown,2896041.1073968700,2761524.5131477200,2945151.3300169100,3414156.3605294300,3978471.146653140,4292017.576147920
Bonphul Air Products,2018,2011.0,CleanTech,Angel,1732147.56,"New Delhi, New Delhi, India",A clean tech product Company,Unknown,2300564.1881779800,2752151.866410230,2932888.281301850,2964310.722098290,2927935.372240840,3388794.770778380
DheeYantra Research Labs,2018,2014.0,Artificial Intelligence,Seed,628411.25,"Bengaluru, Karnataka, India","DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Unknown,1028988.8566672900,1019482.2500129300,1225036.7123953000,1315536.1256951500,1269967.646111480,1521141.9570383500
Edyoo,2018,2019.0,Education,Seed,1692502.85,"Bengaluru, Karnataka, India","Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",Unknown,1802797.4629477700,2554558.1551010000,2502128.4791475800,3197402.508737800,2721876.0516295900,4075403.943551500
Chtrbox,2018,2018.0,Advertising,Angel,1202052.2,"Mumbai, Maharashtra, India",Chtrbox connects social media influencers with brands .,Unknown,1413257.979895030,2152480.770663990,2272102.6248958500,2422143.5518563400,2444872.9901413600,2286682.8336610600
Aashiyaan Housing and Development Finance,2018,2017.0,Financial Services,Seed,1808445.77,"Kolkata, West Bengal, India",Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Unknown,2201385.4663134500,2501863.241621620,3496284.629042750,3136036.088942380,3443402.4377101300,4506039.895968010
Cashkumar,2018,2020.0,Consumer Lending,Seed,1267832.14,"Bengaluru, Karnataka, India",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,Unknown,2119777.1526629100,2155889.2604026500,1786230.0482504100,2560105.2609437800,2635553.156483530,2749331.592242670
Rocketium,2018,2016.0,Marketing,Seed,1812378.54,"Bengaluru, Karnataka, India",Easy video creation for social media.,Unknown,2810045.65488568,2440424.6521347900,3585034.7625189100,2954124.077998260,3372740.8469891200,4148004.3835282200
FreightBazaar,2018,2018.0,Transportation,Seed,1184606.98,"Hyderabad, Andhra Pradesh, India",FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,Unknown,1215323.8416867900,1618970.4315897000,1868105.8427740900,1785536.779803640,2420040.0125474000,2944856.172406660
OPEN,2018,2019.0,Banking,Seed,1330560.73,"Bengaluru, Karnataka, India",Open up to a new world of Banking,Unknown,1627799.531141210,2031353.5727682800,2562053.319819710,2529881.089638860,2168476.5101569600,3125827.9579199300
mfine,2018,2015.0,Health Care,Series A,768819.17,"Bengaluru, Karnataka, India",Hospital & Health Care Start up,Unknown,1113243.2494316900,1105584.6495225600,1268884.3605401200,1444276.0682787700,1592742.856232780,1775472.2106031400
Earth Food,2018,2016.0,Food and Beverage,Seed,1196325.43,"Pune, Maharashtra, India",Earth Food is a healthy Food Start Up.,Unknown,1675497.7490618100,2211538.6837456100,2158520.171067230,1862368.3078314900,2186289.1597904200,2493342.108535520
Charcoal Eats,2018,2020.0,Food Processing,Seed,1241588.3,"Mumbai, Maharashtra, India",Charcoal Eats aims to bring Dominos style standardisation.,Unknown,1381956.9584499600,1966398.602790000,1868626.43487043,2152463.54506676,2199153.716071710,2731448.457348190
Wishfie,2018,2017.0,Apps,Seed,1556267.33,"Bengaluru, Karnataka, India",A platform for people to express their opinions in form of short videos around any topic.,Unknown,2459184.4260942500,2331047.9160366800,2771407.828165080,2658973.0806711300,2983478.0042233000,3264561.187876380
The Social Hook,2018,2015.0,Marketing,Seed,1982362.32,"Bengaluru, Karnataka, India",Fast growing Influencer Marketing platform in India.,Unknown,2918035.851540610,3638383.7409880400,3044319.2856545500,3604549.20137545,3682285.917611410,4569723.253247580
Finwego,2018,2016.0,—,Seed,970566.16,"Chennai, Tamil Nadu, India",Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Unknown,1642841.8790608300,1553307.0964797000,1471987.4249553800,1884528.0549730100,1856701.0539215800,2214999.880895510
TheCollegeFever,2018,2017.0,Brand Marketing,Seed,553342.55,"Bengaluru, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Unknown,581421.6373858740,829595.8151893910,973604.6145789740,978834.0744976590,1051291.513387400,1193697.2475201000
Wicked Ride Adventure Services Private Limited,2018,2015.0,Automotive,Venture - Series Unknown,1487399.09,"Bengaluru, Karnataka, India",Peer-to-Peer motor vehicles sharing,Unknown,1763780.2468919000,2335871.910719170,2862161.8209831300,2445070.1528110000,2626016.3142884800,3452009.6418553800
Career Anna,2018,2017.0,Commercial,Seed,983108.05,"Bengaluru, Karnataka, India",India's Go to Career Commerce Portal,Unknown,986921.2624346110,1680307.477524680,1410399.5832753600,1904389.9574369300,2081211.39165739,1797691.1847740800
ERUDITUS Executive Education,2018,2019.0,Continuing Education,Series C,1697633.26,"Mumbai, Maharashtra, India","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",Unknown,2588633.439800620,3046808.9597083600,2589278.2195366100,3452474.010075720,3186572.4292243600,3897049.68906797
Gaia Smart Cities,2018,2016.0,Smart Cities,Seed,810108.03,"Mumbai, Maharashtra, India",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,Unknown,822159.4918915310,1537745.5431779800,1330160.3036609600,1583202.9529161200,1432113.819879490,1566704.3206204100
Square Off,2018,2020.0,Internet of Things,Seed,583196.96,"Mumbai, Maharashtra, India",Delivering Imagination,Unknown,818966.0672328510,997203.8738234910,915329.9280244360,1124688.9138186000,1124184.9511282800,1359996.891783720
UrbanClap,2018,2010.0,Apps,Series D,641860.5,"New Delhi, New Delhi, India",UrbanClap is India's leading managed marketplace for home services.,Unknown,1003316.55660458,1209886.3751601900,987055.3640941090,1098350.1753163000,1392846.2646788900,1190239.9949949000
Hospals,2018,2020.0,Medical,Seed,613837.01,"New New Delhi, New Delhi, India",Hospals is a medical tourism company.,Unknown,759939.4731025930,1076661.8525149500,887937.1398637830,1231024.5718045700,1137987.057826160,1122262.7121793900
Kogta Financial India Limited,2018,2018.0,Financial Services,Series B,1882048.55,"Jaipur, Rajasthan, India",Kogta Financial (India) Ltd is a retail-focused non banking financial company .,Unknown,3016824.57524821,2567393.2897152000,3174594.689322890,3671073.1907242900,3603017.636908060,4618420.102059960
Perspectico,2018,2015.0,Career Planning,Seed,1850575.14,"New New Delhi, New Delhi, India",An Education Management startup.,Unknown,2530425.9127819700,2584055.585856780,3049123.63171999,3531368.758090680,3644009.2873900200,4420764.989099030
The Souled Store,2018,2018.0,Fashion,Venture - Series Unknown,1682611.79,"Mumbai, Maharashtra, India","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Unknown,2181927.539542850,2756159.694555870,2780038.1592140300,2580501.2106592600,3061303.6593759100,3920428.504142330
Hush - Speak Up. Make Work Better,2018,2012.0,Communities,Seed,958474.6,"Bengaluru, Karnataka, India",Enabling diversity of opinions in organizations,Unknown,1507155.4800199900,1530202.7026370800,1599254.506930360,1908070.502842950,1778842.3866072700,2207886.7406378000
Drivezy,2018,2015.0,Automotive,Debt Financing,1642791.73,"Bengaluru, Karnataka, India",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Unknown,1940271.0915939100,2932773.3027024000,2304156.266434150,2493017.240971490,3058619.3357939800,3526880.2944205600
Freyr Energy,2018,2018.0,Energy,Series A,835582.45,"Hyderabad, Andhra Pradesh, India","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Unknown,1261832.9488882100,1429535.2100006300,1573383.506288180,1254776.6965649000,1357456.0186373500,1881402.1197000700
NIRAMAI Health Analytix,2018,2015.0,Health Care,Seed,991707.85,"Bengaluru, Karnataka, India",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,Unknown,1316472.2614975400,1583586.8107492900,1890112.0660855400,1616933.3560342000,2110652.9961627800,2331248.306798790
CloudSek,2018,2018.0,Information Technology,Seed,793431.2,"Bengaluru, Karnataka, India",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,Unknown,952320.136437415,1282704.4126421800,1181876.8048048000,1199188.3499258800,1731313.7735669800,1916113.6934169200
Lendbox,2018,2015.0,Crowdfunding,Seed,1869525.7,"New Delhi, New Delhi, India",Lendbox is India's leading peer-to-peer lending online lending platform.,Unknown,2155417.059990470,2549053.427273020,2931781.928191100,3902659.715584320,3644418.6611385900,4242970.982856870
Verloop,2018,2015.0,Customer Service,Series A,1359818.27,"Bengaluru, Karnataka, India",Verloop is an automated customer support and engagement platform.,Unknown,2282730.507267660,2243548.1636287700,2673454.264440130,2171698.235433160,2956430.780514610,3322198.579597380
Flickstree,2018,2015.0,Advertising,Seed,1481611.48,"Mumbai, Maharashtra, India","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",Unknown,1622669.5917154700,2135107.1616455200,2791232.137100780,2246019.416723020,2585097.499914070,3486832.6945393500
Paymatrix,2018,2012.0,Credit Cards,Seed,1174731.06,"Hyderabad, Andhra Pradesh, India",India's Leading Property Rent management platform,Unknown,1448244.8581780500,1588347.4356695900,2185843.7689504100,2157176.0216413900,2449494.78321252,2796047.2348449400
Idha Skin Clinic,2018,2019.0,Beauty,Seed,1220526.28,"Bengaluru, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,Unknown,1844580.9071800200,1605006.4584359700,2093550.9505794600,2101952.5793896800,2251226.7824669200,2941078.545332120
InCred,2018,2016.0,Banking,Private Equity,749074.57,"Mumbai, Maharashtra, India",InCred Finance is a mumbai-based non-banking financial company,Unknown,1249236.2440791600,973988.5354316790,1291858.6765758900,1317239.2051043800,1474063.9355525400,1365551.8929021200
Vedantu,2018,2015.0,EdTech,Series B,1262794.38,"Bengaluru, Karnataka, India",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,Unknown,1450064.419146700,1665104.3446900300,2030355.960087030,2258194.871565430,2183086.3152442800,2356559.941730480
Sportido,2018,2010.0,Social Media,Seed,1937375.82,"Noida, Uttar Pradesh, India",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,Unknown,2755366.020433120,3509285.6647210300,3681867.76881061,3335501.4879925200,4109323.0199608900,3667767.8667188600
Stelis Biopharma,2018,2019.0,Biopharma,Series B,1603260.49,"Bengaluru, Karnataka, India",Stelis Biopharma is a vertically integrated biopharmaceutical company,Unknown,2613631.8274528900,2655790.9585122000,2683365.469156690,2867263.1982965200,2829111.0791718000,2947498.2593625400
Magicpin,2018,2015.0,E-Commerce,Series C,803057.64,"Gurugram, Haryana, India","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",Unknown,1351649.373583600,1236139.208510230,1601515.190487470,1216205.0325957500,1475056.183842980,1667769.7840709100
Try & Buy,2018,2016.0,E-Commerce,Seed,707451.07,"New New Delhi, New Delhi, India",Try & Buy,Unknown,1137432.6690537600,1065077.9257308200,1162605.6520872300,1301661.8395598600,1261899.6805251000,1618573.676082350
Mech Mocha,2018,2017.0,Digital Entertainment,Series B,1906452.66,"Bengaluru, Karnataka, India",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,Unknown,2884220.150382950,3076046.1529546000,3363805.422652570,3628043.010740650,3274633.581254230,4498442.9675412500
Aye Finance,2018,2016.0,Finance,Debt Financing,852974.89,"Gurugram, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.,Unknown,1319257.181792690,1495281.4058493800,1254764.7591433500,1727682.9672618100,1477943.8892860500,2115600.6109118300
Aldopay,2018,2020.0,Mobile Payments,Seed,1845814.57,"Chennai, Tamil Nadu, India",Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,Unknown,3055409.1277490700,3041096.3442331500,3432979.812344290,3405220.3706003400,3940007.955434800,4127567.541350380
Detect Technologies,2018,2020.0,Artificial Intelligence,Series A,1479861.65,"Chennai, Tamil Nadu, India",Completely automated remote control system.,Unknown,2363668.972127070,1994276.8912764700,2328973.2964477500,3076676.5104021800,2904572.1531413700,3174121.649450410
Signzy,2018,2015.0,Computer,Series A,1626682.79,"Bengaluru, Karnataka, India",Signzy are creating 'building blocks for a Digital Trust system.,Unknown,2129737.3414092500,2541331.019554450,3006321.1891233800,3047881.6934637,3339587.514257640,3807324.229391120
CashRich,2018,2012.0,Apps,Seed,1246607.62,"Mumbai, Maharashtra, India",A Mumbai-based fin-tech startup,Unknown,1895987.963279580,1700291.1028560700,1969410.9065596900,2534892.6671900800,2360757.318194450,2693003.4837471800
Cloudnine Hospitals,2018,2015.0,Child Care,Private Equity,543120.54,"Bengaluru, Karnataka, India",Cloudnine is an Indian chain of women and child care hospitals.,Unknown,715730.91726435,921321.285869533,784905.0114365670,989488.8543412260,885201.531413315,1021999.1279031600
CropIn Technologies,2018,2012.0,Agriculture,Series B,597069.81,"Bengaluru, Karnataka, India","To discover, develop and deliver innovative solution in Agtech Space",Unknown,673178.2149671100,913917.2420650350,985180.4617301620,983589.908049176,1026457.5603626900,1455934.5475238400
Billdesk,2018,2016.0,Finance,Venture - Series Unknown,1354441.15,"Ahmedabad, Gujarat, India","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",Unknown,1900112.1394331600,1761314.4599522500,1914278.3170482400,2405275.0827819000,2904719.3503196400,3105535.1744598900
Yaantra,2018,2017.0,Information Services,Debt Financing,1197245.49,"New Delhi, New Delhi, India","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",Unknown,1399976.8832062900,1939028.6237577100,1885900.3409391900,1856733.4772395700,2178832.345598020,2325451.002616030
TECHBOOZE,2018,2018.0,Education,Seed,837612.59,"New New Delhi, New Delhi, India","Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",Unknown,853276.8271260820,1468522.8716376600,1611719.1746694400,1398887.912279020,1416012.9100139300,1697062.6266203400
HealthifyMe,2018,2018.0,Apps,Series B,1734885.56,"Bengaluru, Karnataka, India",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,Unknown,2880955.561175730,2472837.037690260,2625713.6600578400,2841777.568492970,2784248.147375110,4083649.3881903800
hoi foods,2018,2016.0,Food and Beverage,Seed,1993051.33,"Gurugram, Haryana, India",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,Unknown,2402306.4195224200,2592716.1889708900,3396377.8073563400,3522167.0523111500,3217909.0860665300,3894526.7588329900
Perpule,2018,2014.0,Apps,Series A,937023.76,"Bengaluru, Karnataka, India",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,Unknown,1319050.2234235500,1436129.0348841500,1340372.2296734100,1692630.7380236200,1901843.5819311500,1849595.4171264700
Royal Sundaram General Insurance Co. Limited,2018,2019.0,Health Insurance,Corporate Round,1278578.07,"Kalpakkam, Tamil Nadu, India","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",Unknown,1857649.230912760,2112160.850643920,1887828.8585852900,2608247.918865650,2606050.3105527300,2419920.4220143200
CleanseCar,2018,2015.0,Automotive,Angel,649310.9,"Bengaluru, Karnataka, India",CleanseCar is a company provides Washing and Repair Services.,Unknown,943921.00749375,1119135.3740243400,1256315.1774621400,1271612.3249586200,1191468.2088612000,1572943.9363146000
DRIVEU,2018,2020.0,Rental,Venture - Series Unknown,910741.0,"Bengaluru, Karnataka, India",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,Unknown,1446043.8712697300,1673299.9080056500,1720161.4019240300,1545134.2203341800,1818409.789698470,2076795.9325248700
Spinny,2018,2012.0,E-Commerce,Series A,879293.27,"Gurugram, Haryana, India",Used cars marketplace in India. Ushering new era of transparency and convenience.,Unknown,1452848.7269911000,1558945.907081130,1577197.0373884700,1535068.5753581100,1521749.1677340800,2061410.3341131700
Asset Reconstruction Company (India) Ltd.,2018,2017.0,Financial Services,Secondary Market,1778103.84,"Mumbai, Maharashtra, India",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,Unknown,2226553.217700840,3343460.9623221800,2580047.765291600,3020439.832888000,3344261.538238320,3311757.0173399000
Med365 Healthcare,2018,2016.0,Health Diagnostics,Seed,1568147.5,"Jaipur, Rajasthan, India","Wellness, Specialised Testing, Healthcare at Home",Unknown,2549691.79455988,2837712.0501640500,3090383.2121429500,2647418.735586830,3190474.811965620,3451980.0203753000
Dunzo,2018,2015.0,Customer Service,Debt Financing,1470795.6,"Bengaluru, Karnataka, India",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,Unknown,2291924.1798128400,2584720.999957820,2097525.3101717800,2576617.1718481000,2864264.6707576800,3029367.5012624800
Mobile Premier League (MPL),2018,2019.0,Gaming,Series A,1046237.41,"Bengaluru, Karnataka, India",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,Unknown,1497848.3210146500,1613107.4930934000,1973188.1589074000,1753792.1958871900,1953034.0920375400,2496287.131382990
WalMart India,2018,2015.0,Retail,Venture - Series Unknown,954954.74,"Gurugram, Haryana, India","Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",Unknown,1209220.9135776500,1485500.000648350,1886869.194407550,1756547.9299288900,1741576.0530216000,1809073.7614470900
Cred,2018,2018.0,Fintech,Seed,1669256.14,"Bengaluru, Karnataka, India",Cred is a platform to celebrate and reward the most creditworthy people of India.,Unknown,2584576.3240457100,2667858.383708830,2909156.781649400,3059833.1942210000,3537171.880222070,3724144.3883508700
Meesho,2018,2017.0,E-Commerce,Series C,1968575.31,"Bengaluru, Karnataka, India","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",Unknown,3307425.821999090,3027827.40629311,3810925.2568200200,3758768.632424120,3647929.981053820,4535428.019531200
BhaskarGuru,2018,2019.0,Search Engine,Seed,1079817.88,"Bhopal, Madhya Pradesh, India",Bhaskarguru.com is your local search Engine,Unknown,1634845.0380377000,1920038.884419620,1844408.03709707,1998673.060660390,1836504.9321817900,2225701.2118154000
